item,itemLabel,genderLabel
http://www.wikidata.org/entity/Q71778,"Prince Donatus, Landgrave of Hesse",male
http://www.wikidata.org/entity/Q9682,Elizabeth II,female
http://www.wikidata.org/entity/Q151312,Frederik IX of Denmark,male
http://www.wikidata.org/entity/Q151754,"Anne, Princess Royal",female
http://www.wikidata.org/entity/Q151742,Alexander of Greece,male
http://www.wikidata.org/entity/Q151773,Constantine II of Greece,male
http://www.wikidata.org/entity/Q104235,"Alois-Konstantin, 9th Prince of Löwenstein-Wertheim-Rosenberg",male
http://www.wikidata.org/entity/Q152099,Constantine I of Greece,male
http://www.wikidata.org/entity/Q29574,Beatrix of the Netherlands,female
http://www.wikidata.org/entity/Q54386,"Infanta Elena, Duchess of Lugo",female
http://www.wikidata.org/entity/Q152316,"Prince Harry, Duke of Sussex",male
http://www.wikidata.org/entity/Q125649,William III of the Netherlands,male
http://www.wikidata.org/entity/Q72937,"Kraft, Prince of Hohenlohe-Langenburg",male
http://www.wikidata.org/entity/Q153330,Andrew Mountbatten-Windsor,male
http://www.wikidata.org/entity/Q73464,"Armin, Prince of Lippe",male
http://www.wikidata.org/entity/Q264675,Princess Caroline-Mathilde of Denmark,female
http://www.wikidata.org/entity/Q154946,Juliana of the Netherlands,female
http://www.wikidata.org/entity/Q154920,"Prince Edward, Duke of Edinburgh",male
http://www.wikidata.org/entity/Q154952,William Alexander of the Netherlands,male
http://www.wikidata.org/entity/Q267367,Princess Laurentien of the Netherlands,female
http://www.wikidata.org/entity/Q155178,Olga Constantinovna of Russia,female
http://www.wikidata.org/entity/Q155203,"Sophie, Duchess of Edinburgh",female
http://www.wikidata.org/entity/Q155394,Paul of Greece,male
http://www.wikidata.org/entity/Q268821,Princess Margriet of the Netherlands,female
http://www.wikidata.org/entity/Q269493,Infanta Beatriz of Spain,female
http://www.wikidata.org/entity/Q255382,Princess Theodora of Greece and Denmark,female
http://www.wikidata.org/entity/Q269679,Princess Mabel of Orange-Nassau,female
http://www.wikidata.org/entity/Q155822,Sophia of Prussia,female
http://www.wikidata.org/entity/Q156548,Queen Sofía of Spain,female
http://www.wikidata.org/entity/Q156531,Prince Andrew of Greece and Denmark,male
http://www.wikidata.org/entity/Q156617,Christian X of Denmark,male
http://www.wikidata.org/entity/Q208615,Queen Mary of Denmark,female
http://www.wikidata.org/entity/Q271995,"Edwina Mountbatten, Countess Mountbatten of Burma",female
http://www.wikidata.org/entity/Q271998,Princess Marie Louise of Hanover,female
http://www.wikidata.org/entity/Q157068,"Louis Mountbatten, 1st Earl Mountbatten of Burma",male
http://www.wikidata.org/entity/Q272905,"Alexandra Manley, Countess of Frederiksborg",female
http://www.wikidata.org/entity/Q158140,Princess Beatrice of the United Kingdom,female
http://www.wikidata.org/entity/Q158258,"Prince Edward, Duke of Kent",male
http://www.wikidata.org/entity/Q158874,Carlos I of Portugal,male
http://www.wikidata.org/entity/Q159101,Prince Joachim of Denmark,male
http://www.wikidata.org/entity/Q159609,Prince Claus of the Netherlands,male
http://www.wikidata.org/entity/Q160001,Victoria Eugenie of Battenberg,female
http://www.wikidata.org/entity/Q170191,"Princess Alexandra, Lady Ogilvy",female
http://www.wikidata.org/entity/Q212897,Carol II of Romania,male
http://www.wikidata.org/entity/Q160770,"Prince George, Duke of Kent",male
http://www.wikidata.org/entity/Q160948,Grand Duke Kirill Vladimirovich of Russia,male
http://www.wikidata.org/entity/Q161247,Augusta Victoria of Schleswig-Holstein,female
http://www.wikidata.org/entity/Q162177,Helen of Greece and Denmark,female
http://www.wikidata.org/entity/Q163010,Ingrid of Sweden,female
http://www.wikidata.org/entity/Q164500,Princess Victoria Melita of Saxe-Coburg and Gotha,female
http://www.wikidata.org/entity/Q165657,Princess Beatrice of York,female
http://www.wikidata.org/entity/Q165709,Princess Eugenie of York,female
http://www.wikidata.org/entity/Q217504,"Thyra, Crown Princess of Hanover",female
http://www.wikidata.org/entity/Q235438,Grand Duchess Maria Pavlovna of Russia,female
http://www.wikidata.org/entity/Q167423,Alexandra of Yugoslavia,female
http://www.wikidata.org/entity/Q285326,Princess Maria Elisabeth of Bavaria,female
http://www.wikidata.org/entity/Q170160,Prince Nicholas of Greece and Denmark,male
http://www.wikidata.org/entity/Q168674,Sophie of Württemberg,female
http://www.wikidata.org/entity/Q169902,"Prince Aimone, 4th Duke of Aosta",male
http://www.wikidata.org/entity/Q170184,Princess Marina of Greece and Denmark,female
http://www.wikidata.org/entity/Q170194,"Princess Astrid, Archduchess of Austria-Este",female
http://www.wikidata.org/entity/Q170294,"Prince Richard, Duke of Gloucester",male
http://www.wikidata.org/entity/Q170396,Prince George of Greece and Denmark,male
http://www.wikidata.org/entity/Q223183,Peter II of Yugoslavia,male
http://www.wikidata.org/entity/Q269412,George V,male
http://www.wikidata.org/entity/Q280856,George VI,male
http://www.wikidata.org/entity/Q154388,Princess Marie of Schwarzburg-Rudolstadt,female
http://www.wikidata.org/entity/Q230580,Infanta Cristina of Spain,female
http://www.wikidata.org/entity/Q231463,Duchess Marie of Mecklenburg-Schwerin,female
http://www.wikidata.org/entity/Q231895,Princess Marie of Denmark,female
http://www.wikidata.org/entity/Q232159,Grand Duchess Anastasia Mikhailovna of Russia,female
http://www.wikidata.org/entity/Q232483,Grand Duchess Elena Vladimirovna of Russia,female
http://www.wikidata.org/entity/Q232728,Princess Alexandra of Greece and Denmark,female
http://www.wikidata.org/entity/Q232732,Princess Maria of Greece and Denmark,female
http://www.wikidata.org/entity/Q233913,"Mary, Princess Royal and Countess of Harewood",female
http://www.wikidata.org/entity/Q233966,Princess Caroline of Monaco,female
http://www.wikidata.org/entity/Q233990,Princess Irene of Hesse and by Rhine,female
http://www.wikidata.org/entity/Q301365,Pieter van Vollenhoven,male
http://www.wikidata.org/entity/Q235128,"Infanta María de las Mercedes, Countess of Barcelona",female
http://www.wikidata.org/entity/Q235284,Catherine Oxenberg,female
http://www.wikidata.org/entity/Q235432,Princess Olga of Greece and Denmark,female
http://www.wikidata.org/entity/Q235812,Duchess Cecilie of Mecklenburg-Schwerin,female
http://www.wikidata.org/entity/Q235832,Princess Mafalda of Savoy,female
http://www.wikidata.org/entity/Q236196,Princess Cecilie of Greece and Denmark,female
http://www.wikidata.org/entity/Q236678,"Katharine, Duchess of Kent",female
http://www.wikidata.org/entity/Q236770,"Princess Irene, Duchess of Aosta",female
http://www.wikidata.org/entity/Q236965,Amélie of Orléans,female
http://www.wikidata.org/entity/Q237341,Grand Duchess Kira Kirillovna of Russia,female
http://www.wikidata.org/entity/Q238820,"Cecilia Bowes-Lyon, Countess of Strathmore and Kinghorne",female
http://www.wikidata.org/entity/Q297743,Lillie Langtry,female
http://www.wikidata.org/entity/Q240317,Princess Margarita of Greece and Denmark,female
http://www.wikidata.org/entity/Q240442,Aspasia Manos,female
http://www.wikidata.org/entity/Q311442,"Louis Ferdinand, Prince of Prussia",male
http://www.wikidata.org/entity/Q241584,"Birgitte, Duchess of Gloucester",female
http://www.wikidata.org/entity/Q312819,Grand Duke Vladimir Alexandrovich of Russia,male
http://www.wikidata.org/entity/Q313128,Prince Paul of Yugoslavia,male
http://www.wikidata.org/entity/Q313752,Prince Michael of Kent,male
http://www.wikidata.org/entity/Q242348,Princess Alexia of Greece and Denmark,female
http://www.wikidata.org/entity/Q313857,"Infante Juan, Count of Barcelona",male
http://www.wikidata.org/entity/Q242879,Princess María Isabel of Orléans,female
http://www.wikidata.org/entity/Q243049,"Marie-Chantal, Crown Princess of Greece",female
http://www.wikidata.org/entity/Q246026,"Patrick Anson, 5th Earl of Lichfield",male
http://www.wikidata.org/entity/Q246915,"Princess Alice, Duchess of Gloucester",female
http://www.wikidata.org/entity/Q191045,Felipe VI of Spain,male
http://www.wikidata.org/entity/Q255389,Infanta Maria Teresa Isabel of Spain,female
http://www.wikidata.org/entity/Q255400,Princess Maria Antonietta of Bourbon-Two Sicilies,female
http://www.wikidata.org/entity/Q257926,Princess Elizabeth of Serbia,female
http://www.wikidata.org/entity/Q259488,"Nadejda Mountbatten, Marchioness of Milford Haven",female
http://www.wikidata.org/entity/Q260525,Princess Hélène of Orléans,female
http://www.wikidata.org/entity/Q261284,Isabelle of Orléans-Braganza,female
http://www.wikidata.org/entity/Q261322,Princess Isabelle d’Orléans,female
http://www.wikidata.org/entity/Q261826,Princess Adelaide of Saxe-Meiningen,female
http://www.wikidata.org/entity/Q263623,Princess Irene of the Netherlands,female
http://www.wikidata.org/entity/Q153815,"Princess Margaret, Countess of Snowdon",female
http://www.wikidata.org/entity/Q201589,Queen Letizia of Spain,female
http://www.wikidata.org/entity/Q817052,Princess Benedikte of Denmark,female
http://www.wikidata.org/entity/Q354477,"Prince Philippe, Count of Paris",male
http://www.wikidata.org/entity/Q355254,Prince Constantijn of the Netherlands,male
http://www.wikidata.org/entity/Q356560,Iñaki Urdangarin,male
http://www.wikidata.org/entity/Q603075,"Prince Alfonso de Bourbon, Duke of Cádiz",male
http://www.wikidata.org/entity/Q724825,Prince Michael of Greece and Denmark,male
http://www.wikidata.org/entity/Q1850305,"Prince Carlo, Duke of Castro",male
http://www.wikidata.org/entity/Q726890,Jaime de Marichalar,male
http://www.wikidata.org/entity/Q1040807,Lady Sarah Chatto,female
http://www.wikidata.org/entity/Q577228,Princess Françoise of Orléans,female
http://www.wikidata.org/entity/Q1871533,Louis Alphonse de Bourbon,male
http://www.wikidata.org/entity/Q962762,Princess Louise of Orléans,female
http://www.wikidata.org/entity/Q739253,"Peter, Duke of Schleswig-Holstein",male
http://www.wikidata.org/entity/Q1894917,"Princess Margaret, Hereditary Grand Duchess of Hesse and by Rhine",female
http://www.wikidata.org/entity/Q538125,Maria Christina of Austria,female
http://www.wikidata.org/entity/Q619788,"David Lascelles, 8th Earl of Harewood",male
http://www.wikidata.org/entity/Q1913939,"Prince Maximilian, Margrave of Baden",male
http://www.wikidata.org/entity/Q447757,Prince Christopher of Greece and Denmark,male
http://www.wikidata.org/entity/Q1590241,"Charles Augustus, Hereditary Grand Duke of Saxe-Weimar-Eisenach",male
http://www.wikidata.org/entity/Q621866,"Alexander Windsor, Earl of Ulster",male
http://www.wikidata.org/entity/Q537914,"Prince Carlos Hugo, Duke of Parma",male
http://www.wikidata.org/entity/Q372954,Grand Duke Dmitri Pavlovich of Russia,male
http://www.wikidata.org/entity/Q372964,Grand Duke Paul Alexandrovich of Russia,male
http://www.wikidata.org/entity/Q637951,Duke Paul Friedrich of Mecklenburg-Schwerin,male
http://www.wikidata.org/entity/Q1943652,"Prince Ranieri, Duke of Castro",male
http://www.wikidata.org/entity/Q1948021,"Norton Knatchbull, 3rd Earl Mountbatten of Burma",male
http://www.wikidata.org/entity/Q1149075,"William Leveson-Gower, 4th Earl Granville",male
http://www.wikidata.org/entity/Q534961,Prince Henri d’Orléans,male
http://www.wikidata.org/entity/Q1276954,Baroness Francesca Thyssen-Bornemisza,female
http://www.wikidata.org/entity/Q503991,Duke Henry of Mecklenburg-Schwerin,male
http://www.wikidata.org/entity/Q630371,Princess Sophie of Greece and Denmark,female
http://www.wikidata.org/entity/Q898347,Nina Georgievna of Russia,female
http://www.wikidata.org/entity/Q510259,"Prince Carlos, Hereditary Duke of Parma",male
http://www.wikidata.org/entity/Q635489,Prince Karl Franz of Prussia,male
http://www.wikidata.org/entity/Q344908,Peter Phillips,male
http://www.wikidata.org/entity/Q2008995,Princess Victoria Feodora Reuss,female
http://www.wikidata.org/entity/Q763241,"Sylvana Windsor, Countess of St Andrews",female
http://www.wikidata.org/entity/Q765373,"Archduchess Margherita, Archduchess of Austria-Este",female
http://www.wikidata.org/entity/Q518879,Prince Carlos of the Two Sicilies,male
http://www.wikidata.org/entity/Q526743,"Infante Carlos, Duke of Calabria",male
http://www.wikidata.org/entity/Q379479,"Prince Lorenz, Archduke of Austria-Este",male
http://www.wikidata.org/entity/Q772541,Countess Ina Marie von Bassewitz,female
http://www.wikidata.org/entity/Q649601,Prince Bernhard of Lippe,male
http://www.wikidata.org/entity/Q381069,Prince Knud of Denmark,male
http://www.wikidata.org/entity/Q381700,"Pavlos, Crown Prince of Greece",male
http://www.wikidata.org/entity/Q382226,"Grand Duke Vladimir Kirillovich, Grand Duke of Russia",male
http://www.wikidata.org/entity/Q538532,Grand Duchess Maria Vladimirovna of Russia,female
http://www.wikidata.org/entity/Q538411,Prince Henri d'Orléans,male
http://www.wikidata.org/entity/Q922418,Princess Maria Pia of Savoy,female
http://www.wikidata.org/entity/Q544609,Angus Ogilvy,male
http://www.wikidata.org/entity/Q778200,Grand Duchess Maria Kirillovna of Russia,female
http://www.wikidata.org/entity/Q1626864,Princess Claude d’Orléans,female
http://www.wikidata.org/entity/Q930013,Michael I of Romania,male
http://www.wikidata.org/entity/Q1333222,"Infante Alfonso, Duke of Calabria",male
http://www.wikidata.org/entity/Q659557,"Georg, Prince of Saxe-Meiningen",male
http://www.wikidata.org/entity/Q788565,Princess Leonida Bagration of Mukhrani,female
http://www.wikidata.org/entity/Q670121,"Archduke Peter Ferdinand, Hereditary Grand Duke of Tuscany",male
http://www.wikidata.org/entity/Q563765,Queen Anne of Romania,female
http://www.wikidata.org/entity/Q564889,Queen Anne-Marie of Greece,female
http://www.wikidata.org/entity/Q430785,Lady Rose Windsor,female
http://www.wikidata.org/entity/Q431121,"Prince Amedeo, 3rd Duke of Aosta",male
http://www.wikidata.org/entity/Q321787,"Franz Ulrich, 11th Prince Kinsky of Wchinitz and Tettau",male
http://www.wikidata.org/entity/Q435739,"Prince Wilhelm, Duke of Södermanland",male
http://www.wikidata.org/entity/Q437001,"Ernst August, Crown Prince of Hanover",male
http://www.wikidata.org/entity/Q1217757,Lord Nicholas Windsor,male
http://www.wikidata.org/entity/Q1362941,Pedro Henrique de Orléans e Bragança,male
http://www.wikidata.org/entity/Q439014,"Prince Alfonso, Count of Caserta",male
http://www.wikidata.org/entity/Q524451,Grand Duke George Mikhailovich of Russia,male
http://www.wikidata.org/entity/Q444347,Prince Henry of Battenberg,male
http://www.wikidata.org/entity/Q445106,"Prince Emanuele Filiberto, 2nd Duke of Aosta",male
http://www.wikidata.org/entity/Q691072,Prince Friedrich of Saxe-Meiningen,male
http://www.wikidata.org/entity/Q547893,Mark Phillips,male
http://www.wikidata.org/entity/Q578791,Prince Jean d’Orléans,male
http://www.wikidata.org/entity/Q450684,"Archduchess Maria Cristina, Hereditary Grand Duchess of Tuscany",female
http://www.wikidata.org/entity/Q450692,Audrey Emery,female
http://www.wikidata.org/entity/Q331657,Daniel Chatto,male
http://www.wikidata.org/entity/Q1758535,"Patrick Bowes-Lyon, 15th Earl of Strathmore and Kinghorne",male
http://www.wikidata.org/entity/Q452039,"Prince Amedeo, 5th Duke of Aosta",male
http://www.wikidata.org/entity/Q332969,"John Knatchbull, 7th Baron Brabourne",male
http://www.wikidata.org/entity/Q1386944,Mike Tindall,male
http://www.wikidata.org/entity/Q1389258,"Henrik, Prince Consort of Denmark",male
http://www.wikidata.org/entity/Q335129,"George Mountbatten, 2nd Marquess of Milford Haven",male
http://www.wikidata.org/entity/Q335159,"Claude Bowes-Lyon, 14th Earl of Strathmore and Kinghorne",male
http://www.wikidata.org/entity/Q335260,"Antony Armstrong-Jones, 1st Earl of Snowdon",male
http://www.wikidata.org/entity/Q335615,"Michael Bowes-Lyon, 18th Earl of Strathmore and Kinghorne",male
http://www.wikidata.org/entity/Q336691,"Patricia Knatchbull, 2nd Countess Mountbatten of Burma",female
http://www.wikidata.org/entity/Q336609,"George Lascelles, 7th Earl of Harewood",male
http://www.wikidata.org/entity/Q336783,"George Mountbatten, 4th Marquess of Milford Haven",male
http://www.wikidata.org/entity/Q337477,"Alexander Mountbatten, 1st Marquess of Carisbrooke",male
http://www.wikidata.org/entity/Q1091237,"David Armstrong-Jones, 2nd Earl of Snowdon",male
http://www.wikidata.org/entity/Q455160,Autumn Phillips,female
http://www.wikidata.org/entity/Q1004037,Frederik X of Denmark,male
http://www.wikidata.org/entity/Q592349,Prince Jean d'Orléans,male
http://www.wikidata.org/entity/Q594386,Prince Tomislav of Yugoslavia,male
http://www.wikidata.org/entity/Q460960,Queen Máxima of the Netherlands,female
http://www.wikidata.org/entity/Q1009513,"George Windsor, Earl of St Andrews",male
http://www.wikidata.org/entity/Q815126,"Alexander, Crown Prince of Serbia",male
http://www.wikidata.org/entity/Q703780,"Infante Jaime, Duke of Segovia",male
http://www.wikidata.org/entity/Q704776,Prince Charles Bonaparte,male
http://www.wikidata.org/entity/Q352981,Prince Friso of Orange-Nassau,male
http://www.wikidata.org/entity/Q2312463,"Princess Maria da Glória, Duchess of Segorbe",female
http://www.wikidata.org/entity/Q2314771,Prince Christoph of Hesse-Kassel,male
http://www.wikidata.org/entity/Q4742208,"Ameli, Duchess of Oldenburg",female
http://www.wikidata.org/entity/Q2324276,"Prince Ferdinando, Duke of Castro",male
http://www.wikidata.org/entity/Q2325684,Prince Karl of Leiningen,male
http://www.wikidata.org/entity/Q3735133,Lord Frederick Windsor,male
http://www.wikidata.org/entity/Q4751836,"Anastasia, Princess of Löwenstein-Wertheim-Rosenberg",female
http://www.wikidata.org/entity/Q2929493,Béatrice d'Orléans,female
http://www.wikidata.org/entity/Q2939617,Carmen Martínez-Bordiú y Franco,female
http://www.wikidata.org/entity/Q2960441,"Charles Wellesley, 9th Duke of Wellington",male
http://www.wikidata.org/entity/Q2379307,Princess Eugénie of Greece and Denmark,female
http://www.wikidata.org/entity/Q6779476,"Mary Elphinstone, Lady Elphinstone",female
http://www.wikidata.org/entity/Q7807119,Timothy Colman,male
http://www.wikidata.org/entity/Q4862973,Hedwig of Sierstorpff-Driburg,female
http://www.wikidata.org/entity/Q4925346,Princess Béatrice of the Two Sicilies,female
http://www.wikidata.org/entity/Q2414301,Antônio de Orleans e Bragança,male
http://www.wikidata.org/entity/Q2419996,Princess Alexandra Victoria of Schleswig-Holstein-Sonderburg-Glücksburg,female
http://www.wikidata.org/entity/Q2423576,Princess Elena of Romania,female
http://www.wikidata.org/entity/Q2871729,Princess Anne of Denmark,female
http://www.wikidata.org/entity/Q2439092,Claus Felix von Amsberg,male
http://www.wikidata.org/entity/Q3035416,Prince Dominik Rainer Radziwiłł,male
http://www.wikidata.org/entity/Q3052995,Emmanuelle de Dampierre,female
http://www.wikidata.org/entity/Q6049946,Olimpia Torlonia,female
http://www.wikidata.org/entity/Q4994262,"Princess Camilla, Duchess of Castro",female
http://www.wikidata.org/entity/Q6069164,"Irene Mountbatten, Marchioness of Carisbrooke",female
http://www.wikidata.org/entity/Q3847184,Countess Maria Carolina Zamoyska,female
http://www.wikidata.org/entity/Q3847609,Infanta Maria de las Mercedes of Spain,female
http://www.wikidata.org/entity/Q3856119,"Fergus Bowes-Lyon, 17th Earl of Strathmore and Kinghorne",male
http://www.wikidata.org/entity/Q3104331,Princess Barbara of Prussia,female
http://www.wikidata.org/entity/Q5066498,Carlos Morales Quintana,male
http://www.wikidata.org/entity/Q2525746,Duchess Elisabeth Alexandrine of Mecklenburg-Schwerin,female
http://www.wikidata.org/entity/Q2534736,Princess Ortrud of Schleswig-Holstein-Sonderburg-Glücksburg,female
http://www.wikidata.org/entity/Q2010206,Marion Stein,female
http://www.wikidata.org/entity/Q3960165,"Sidney Elphinstone, 16th Lord Elphinstone",male
http://www.wikidata.org/entity/Q3198365,Archduke Leopold Franz of Austria,male
http://www.wikidata.org/entity/Q2591944,Princess Margarita of Leiningen,female
http://www.wikidata.org/entity/Q3218785,Juliana von Salviati,female
http://www.wikidata.org/entity/Q2617325,Luís de Orléans e Bragança,male
http://www.wikidata.org/entity/Q3268202,Lady Pamela Hicks,female
http://www.wikidata.org/entity/Q2623984,Marina Karella,female
http://www.wikidata.org/entity/Q2624237,Princess Maria Pia of the Two Sicilies,female
http://www.wikidata.org/entity/Q2071733,Princess Marie of Windisch-Graetz,female
http://www.wikidata.org/entity/Q6228439,"John Dalrymple, 13th Earl of Stair",male
http://www.wikidata.org/entity/Q2072516,Princess Anne d'Orléans,female
http://www.wikidata.org/entity/Q5231604,David Bowes-Lyon,male
http://www.wikidata.org/entity/Q2631078,Sophie Winkleman,female
http://www.wikidata.org/entity/Q2635204,Princess María de los Dolores of Bourbon-Two Sicilies,female
http://www.wikidata.org/entity/Q5238032,David Nightingale Hicks,male
http://www.wikidata.org/entity/Q5384669,Elena Sanz,female
http://www.wikidata.org/entity/Q3292104,"Princess Maria Luisa, 9th Princess of Koháry",female
http://www.wikidata.org/entity/Q3292297,Duchess Marie Thérèse of Württemberg,female
http://www.wikidata.org/entity/Q3296460,María Margarita Vargas Santaella,female
http://www.wikidata.org/entity/Q2083425,Augustyn Józef Czartoryski,male
http://www.wikidata.org/entity/Q2085981,Countess Adelaide of Lippe-Biesterfeld,female
http://www.wikidata.org/entity/Q7243973,Eudes de Orléans e Bragança,male
http://www.wikidata.org/entity/Q7244058,Prince Heinrich I Reuss of Köstritz,male
http://www.wikidata.org/entity/Q3304418,"Meghan, Duchess of Sussex",female
http://www.wikidata.org/entity/Q7244552,Princess Antonia of Prussia,female
http://www.wikidata.org/entity/Q7244586,Princess Christine of Ligne,female
http://www.wikidata.org/entity/Q3147302,Ian Malcolm,male
http://www.wikidata.org/entity/Q4164797,Princess Tatiana of Sayn-Wittgenstein-Berleburg,female
http://www.wikidata.org/entity/Q3311149,Prince Michel d'Orléans,male
