item,itemLabel,parent,parentLabel,genderLabel,article
http://www.wikidata.org/entity/Q64976,"Nikolaus, Hereditary Grand Duke of Oldenburg",http://www.wikidata.org/entity/Q2525746,Duchess Elisabeth Alexandrine of Mecklenburg-Schwerin,male,"https://en.wikipedia.org/wiki/Nikolaus,_Hereditary_Grand_Duke_of_Oldenburg"
http://www.wikidata.org/entity/Q66639,Princess Feodora of Saxe-Meiningen,http://www.wikidata.org/entity/Q2085981,Countess Adelaide of Lippe-Biesterfeld,female,https://en.wikipedia.org/wiki/Princess_Feodora_of_Saxe-Meiningen_(1890%E2%80%931972)
http://www.wikidata.org/entity/Q29574,Beatrix of the Netherlands,http://www.wikidata.org/entity/Q154946,Juliana of the Netherlands,female,https://en.wikipedia.org/wiki/Beatrix_of_the_Netherlands
http://www.wikidata.org/entity/Q29574,Beatrix of the Netherlands,http://www.wikidata.org/entity/Q57304,Prince Bernhard of Lippe-Biesterfeld,female,https://en.wikipedia.org/wiki/Beatrix_of_the_Netherlands
http://www.wikidata.org/entity/Q96733,Duchess Woizlawa Feodora of Mecklenburg-Schwerin,http://www.wikidata.org/entity/Q2008995,Princess Victoria Feodora Reuss,female,https://en.wikipedia.org/wiki/Duchess_Woizlawa_Feodora_of_Mecklenburg
http://www.wikidata.org/entity/Q150747,Wilhelmina of the Netherlands,http://www.wikidata.org/entity/Q57664,Emma of Waldeck and Pyrmont,female,https://en.wikipedia.org/wiki/Wilhelmina_of_the_Netherlands
http://www.wikidata.org/entity/Q115132,Duchess Marie Antoinette of Mecklenburg-Schwerin,http://www.wikidata.org/entity/Q2071733,Princess Marie of Windisch-Graetz,female,https://en.wikipedia.org/wiki/Duchess_Marie_Antoinette_of_Mecklenburg
http://www.wikidata.org/entity/Q96733,Duchess Woizlawa Feodora of Mecklenburg-Schwerin,http://www.wikidata.org/entity/Q60697,Duke Adolf Friedrich of Mecklenburg-Schwerin,female,https://en.wikipedia.org/wiki/Duchess_Woizlawa_Feodora_of_Mecklenburg
http://www.wikidata.org/entity/Q115132,Duchess Marie Antoinette of Mecklenburg-Schwerin,http://www.wikidata.org/entity/Q637951,Duke Paul Friedrich of Mecklenburg-Schwerin,female,https://en.wikipedia.org/wiki/Duchess_Marie_Antoinette_of_Mecklenburg
http://www.wikidata.org/entity/Q150747,Wilhelmina of the Netherlands,http://www.wikidata.org/entity/Q125649,William III of the Netherlands,female,https://en.wikipedia.org/wiki/Wilhelmina_of_the_Netherlands
http://www.wikidata.org/entity/Q154946,Juliana of the Netherlands,http://www.wikidata.org/entity/Q503991,Duke Henry of Mecklenburg-Schwerin,female,https://en.wikipedia.org/wiki/Juliana_of_the_Netherlands
http://www.wikidata.org/entity/Q154946,Juliana of the Netherlands,http://www.wikidata.org/entity/Q150747,Wilhelmina of the Netherlands,female,https://en.wikipedia.org/wiki/Juliana_of_the_Netherlands
http://www.wikidata.org/entity/Q160948,Grand Duke Kirill Vladimirovich of Russia,http://www.wikidata.org/entity/Q312819,Grand Duke Vladimir Alexandrovich of Russia,male,https://en.wikipedia.org/wiki/Grand_Duke_Kirill_Vladimirovich_of_Russia
http://www.wikidata.org/entity/Q151312,Frederik IX of Denmark,http://www.wikidata.org/entity/Q57264,Alexandrine of Mecklenburg-Schwerin,male,https://en.wikipedia.org/wiki/Frederik_IX
http://www.wikidata.org/entity/Q70203,Duke Christian Ludwig of Mecklenburg-Schwerin,http://www.wikidata.org/entity/Q61243,Princess Alexandra of Hanover,male,https://en.wikipedia.org/wiki/Duke_Christian_Louis_of_Mecklenburg
http://www.wikidata.org/entity/Q65639,"Anton-Günther, Duke of Oldenburg",http://www.wikidata.org/entity/Q2280905,Princess Helene of Waldeck and Pyrmont,male,"https://en.wikipedia.org/wiki/Anton-G%C3%BCnther,_Duke_of_Oldenburg"
http://www.wikidata.org/entity/Q70203,Duke Christian Ludwig of Mecklenburg-Schwerin,http://www.wikidata.org/entity/Q57930,Frederick Francis IV,male,https://en.wikipedia.org/wiki/Duke_Christian_Louis_of_Mecklenburg
http://www.wikidata.org/entity/Q151312,Frederik IX of Denmark,http://www.wikidata.org/entity/Q156617,Christian X of Denmark,male,https://en.wikipedia.org/wiki/Frederik_IX
http://www.wikidata.org/entity/Q65639,"Anton-Günther, Duke of Oldenburg",http://www.wikidata.org/entity/Q64976,"Nikolaus, Hereditary Grand Duke of Oldenburg",male,"https://en.wikipedia.org/wiki/Anton-G%C3%BCnther,_Duke_of_Oldenburg"
http://www.wikidata.org/entity/Q160948,Grand Duke Kirill Vladimirovich of Russia,http://www.wikidata.org/entity/Q231463,Duchess Marie of Mecklenburg-Schwerin,male,https://en.wikipedia.org/wiki/Grand_Duke_Kirill_Vladimirovich_of_Russia
http://www.wikidata.org/entity/Q263623,Princess Irene of the Netherlands,http://www.wikidata.org/entity/Q154946,Juliana of the Netherlands,female,https://en.wikipedia.org/wiki/Princess_Irene_of_the_Netherlands
http://www.wikidata.org/entity/Q215791,"Friedrich Franz, Hereditary Grand Duke of Mecklenburg-Schwerin",http://www.wikidata.org/entity/Q61243,Princess Alexandra of Hanover,male,"https://en.wikipedia.org/wiki/Friedrich_Franz,_Hereditary_Grand_Duke_of_Mecklenburg-Schwerin"
http://www.wikidata.org/entity/Q263623,Princess Irene of the Netherlands,http://www.wikidata.org/entity/Q57304,Prince Bernhard of Lippe-Biesterfeld,female,https://en.wikipedia.org/wiki/Princess_Irene_of_the_Netherlands
http://www.wikidata.org/entity/Q215791,"Friedrich Franz, Hereditary Grand Duke of Mecklenburg-Schwerin",http://www.wikidata.org/entity/Q57930,Frederick Francis IV,male,"https://en.wikipedia.org/wiki/Friedrich_Franz,_Hereditary_Grand_Duke_of_Mecklenburg-Schwerin"
http://www.wikidata.org/entity/Q232483,Grand Duchess Elena Vladimirovna of Russia,http://www.wikidata.org/entity/Q312819,Grand Duke Vladimir Alexandrovich of Russia,female,https://en.wikipedia.org/wiki/Grand_Duchess_Elena_Vladimirovna_of_Russia
http://www.wikidata.org/entity/Q231463,Duchess Marie of Mecklenburg-Schwerin,http://www.wikidata.org/entity/Q57976,Frederick Francis II,female,https://en.wikipedia.org/wiki/Duchess_Marie_of_Mecklenburg-Schwerin
http://www.wikidata.org/entity/Q235812,Duchess Cecilie of Mecklenburg-Schwerin,http://www.wikidata.org/entity/Q57974,Frederick Francis III,female,https://en.wikipedia.org/wiki/Duchess_Cecilie_of_Mecklenburg-Schwerin
http://www.wikidata.org/entity/Q75112,Princess Alexandrine of Prussia,http://www.wikidata.org/entity/Q57621,"Wilhelm, German Crown Prince",female,https://en.wikipedia.org/wiki/Princess_Alexandrine_of_Prussia_(1915%E2%80%931980)
http://www.wikidata.org/entity/Q70760,Prince Hubertus of Prussia,http://www.wikidata.org/entity/Q57621,"Wilhelm, German Crown Prince",male,https://en.wikipedia.org/wiki/Prince_Hubertus_of_Prussia
http://www.wikidata.org/entity/Q19006,Princess Elizabeth of Greece and Denmark,http://www.wikidata.org/entity/Q170160,Prince Nicholas of Greece and Denmark,female,https://en.wikipedia.org/wiki/Princess_Elizabeth_of_Greece_and_Denmark
http://www.wikidata.org/entity/Q70632,Prince Frederick of Prussia,http://www.wikidata.org/entity/Q57621,"Wilhelm, German Crown Prince",male,https://en.wikipedia.org/wiki/Prince_Frederick_of_Prussia_(1911%E2%80%931966)
http://www.wikidata.org/entity/Q70797,"Wittekind, Prince of Waldeck and Pyrmont",http://www.wikidata.org/entity/Q75911,"Josias, Hereditary Prince of Waldeck and Pyrmont",male,"https://en.wikipedia.org/wiki/Wittekind,_Prince_of_Waldeck_and_Pyrmont"
http://www.wikidata.org/entity/Q502763,Grand Duke Andrei Vladimirovich of Russia,http://www.wikidata.org/entity/Q312819,Grand Duke Vladimir Alexandrovich of Russia,male,https://en.wikipedia.org/wiki/Grand_Duke_Andrei_Vladimirovich_of_Russia
http://www.wikidata.org/entity/Q373048,Grand Duke Boris Vladimirovich of Russia,http://www.wikidata.org/entity/Q312819,Grand Duke Vladimir Alexandrovich of Russia,male,https://en.wikipedia.org/wiki/Grand_Duke_Boris_Vladimirovich_of_Russia
http://www.wikidata.org/entity/Q261826,Princess Adelaide of Saxe-Meiningen,http://www.wikidata.org/entity/Q691072,Prince Friedrich of Saxe-Meiningen,female,https://en.wikipedia.org/wiki/Princess_Adalbert_of_Prussia
http://www.wikidata.org/entity/Q235812,Duchess Cecilie of Mecklenburg-Schwerin,http://www.wikidata.org/entity/Q232159,Grand Duchess Anastasia Mikhailovna of Russia,female,https://en.wikipedia.org/wiki/Duchess_Cecilie_of_Mecklenburg-Schwerin
http://www.wikidata.org/entity/Q231463,Duchess Marie of Mecklenburg-Schwerin,http://www.wikidata.org/entity/Q63095,Princess Augusta Reuss of Köstritz,female,https://en.wikipedia.org/wiki/Duchess_Marie_of_Mecklenburg-Schwerin
http://www.wikidata.org/entity/Q232483,Grand Duchess Elena Vladimirovna of Russia,http://www.wikidata.org/entity/Q231463,Duchess Marie of Mecklenburg-Schwerin,female,https://en.wikipedia.org/wiki/Grand_Duchess_Elena_Vladimirovna_of_Russia
http://www.wikidata.org/entity/Q268821,Princess Margriet of the Netherlands,http://www.wikidata.org/entity/Q57304,Prince Bernhard of Lippe-Biesterfeld,female,https://en.wikipedia.org/wiki/Princess_Margriet_of_the_Netherlands
http://www.wikidata.org/entity/Q587967,"William, Prince of Orange",http://www.wikidata.org/entity/Q125649,William III of the Netherlands,male,"https://en.wikipedia.org/wiki/William,_Prince_of_Orange"
http://www.wikidata.org/entity/Q503991,Duke Henry of Mecklenburg-Schwerin,http://www.wikidata.org/entity/Q57976,Frederick Francis II,male,https://en.wikipedia.org/wiki/Duke_Henry_of_Mecklenburg-Schwerin
http://www.wikidata.org/entity/Q637951,Duke Paul Friedrich of Mecklenburg-Schwerin,http://www.wikidata.org/entity/Q57976,Frederick Francis II,male,https://en.wikipedia.org/wiki/Duke_Paul_Frederick_of_Mecklenburg
http://www.wikidata.org/entity/Q373048,Grand Duke Boris Vladimirovich of Russia,http://www.wikidata.org/entity/Q231463,Duchess Marie of Mecklenburg-Schwerin,male,https://en.wikipedia.org/wiki/Grand_Duke_Boris_Vladimirovich_of_Russia
http://www.wikidata.org/entity/Q261826,Princess Adelaide of Saxe-Meiningen,http://www.wikidata.org/entity/Q2085981,Countess Adelaide of Lippe-Biesterfeld,female,https://en.wikipedia.org/wiki/Princess_Adalbert_of_Prussia
http://www.wikidata.org/entity/Q502763,Grand Duke Andrei Vladimirovich of Russia,http://www.wikidata.org/entity/Q231463,Duchess Marie of Mecklenburg-Schwerin,male,https://en.wikipedia.org/wiki/Grand_Duke_Andrei_Vladimirovich_of_Russia
http://www.wikidata.org/entity/Q77556,Prince Wilhelm of Prussia,http://www.wikidata.org/entity/Q57621,"Wilhelm, German Crown Prince",male,https://en.wikipedia.org/wiki/Prince_Wilhelm_of_Prussia_(1906%E2%80%931940)
http://www.wikidata.org/entity/Q77335,"Regina, Crown Princess of Austria",http://www.wikidata.org/entity/Q659557,"Georg, Prince of Saxe-Meiningen",female,https://en.wikipedia.org/wiki/Regina_von_Habsburg
http://www.wikidata.org/entity/Q105976,Princess Cecilie Viktoria of Prussia,http://www.wikidata.org/entity/Q57621,"Wilhelm, German Crown Prince",female,https://en.wikipedia.org/wiki/Princess_Cecilie_of_Prussia
http://www.wikidata.org/entity/Q268821,Princess Margriet of the Netherlands,http://www.wikidata.org/entity/Q154946,Juliana of the Netherlands,female,https://en.wikipedia.org/wiki/Princess_Margriet_of_the_Netherlands
http://www.wikidata.org/entity/Q503991,Duke Henry of Mecklenburg-Schwerin,http://www.wikidata.org/entity/Q154388,Princess Marie of Schwarzburg-Rudolstadt,male,https://en.wikipedia.org/wiki/Duke_Henry_of_Mecklenburg-Schwerin
http://www.wikidata.org/entity/Q587967,"William, Prince of Orange",http://www.wikidata.org/entity/Q168674,Sophie of Württemberg,male,"https://en.wikipedia.org/wiki/William,_Prince_of_Orange"
http://www.wikidata.org/entity/Q637951,Duke Paul Friedrich of Mecklenburg-Schwerin,http://www.wikidata.org/entity/Q63095,Princess Augusta Reuss of Köstritz,male,https://en.wikipedia.org/wiki/Duke_Paul_Frederick_of_Mecklenburg
http://www.wikidata.org/entity/Q154952,William Alexander of the Netherlands,http://www.wikidata.org/entity/Q159609,"Prince Claus, Prince Consort of the Netherlands",male,https://en.wikipedia.org/wiki/Willem-Alexander_of_the_Netherlands
http://www.wikidata.org/entity/Q659557,"Georg, Prince of Saxe-Meiningen",http://www.wikidata.org/entity/Q2085981,Countess Adelaide of Lippe-Biesterfeld,male,"https://en.wikipedia.org/wiki/Georg,_Prince_of_Saxe-Meiningen"
http://www.wikidata.org/entity/Q649601,Prince Bernhard of Lippe,http://www.wikidata.org/entity/Q2176785,Karoline of Wartensleben,male,https://en.wikipedia.org/wiki/Prince_Bernhard_of_Lippe_(1872%E2%80%931934)
http://www.wikidata.org/entity/Q1618862,Hilmar Bussche-Haddenhausen,http://www.wikidata.org/entity/Q3218785,Juliana von Salviati,male,https://en.wikipedia.org/wiki/Hilmar_von_dem_Bussche-Haddenhausen
http://www.wikidata.org/entity/Q746752,"Bernhard, Prince of Saxe-Meiningen",http://www.wikidata.org/entity/Q2085981,Countess Adelaide of Lippe-Biesterfeld,male,"https://en.wikipedia.org/wiki/Bernhard,_Prince_of_Saxe-Meiningen"
http://www.wikidata.org/entity/Q435324,Princess Christina of the Netherlands,http://www.wikidata.org/entity/Q154946,Juliana of the Netherlands,female,https://en.wikipedia.org/wiki/Princess_Christina_of_the_Netherlands
http://www.wikidata.org/entity/Q381069,Prince Knud of Denmark,http://www.wikidata.org/entity/Q57264,Alexandrine of Mecklenburg-Schwerin,male,"https://en.wikipedia.org/wiki/Knud,_Hereditary_Prince_of_Denmark"
http://www.wikidata.org/entity/Q746752,"Bernhard, Prince of Saxe-Meiningen",http://www.wikidata.org/entity/Q691072,Prince Friedrich of Saxe-Meiningen,male,"https://en.wikipedia.org/wiki/Bernhard,_Prince_of_Saxe-Meiningen"
http://www.wikidata.org/entity/Q649601,Prince Bernhard of Lippe,http://www.wikidata.org/entity/Q66592,"Ernest II, Count of Lippe-Biesterfeld",male,https://en.wikipedia.org/wiki/Prince_Bernhard_of_Lippe_(1872%E2%80%931934)
http://www.wikidata.org/entity/Q659557,"Georg, Prince of Saxe-Meiningen",http://www.wikidata.org/entity/Q691072,Prince Friedrich of Saxe-Meiningen,male,"https://en.wikipedia.org/wiki/Georg,_Prince_of_Saxe-Meiningen"
http://www.wikidata.org/entity/Q1618862,Hilmar Bussche-Haddenhausen,http://www.wikidata.org/entity/Q55617934,Julius Ernst von dem Bussche-Haddenhausen,male,https://en.wikipedia.org/wiki/Hilmar_von_dem_Bussche-Haddenhausen
http://www.wikidata.org/entity/Q381069,Prince Knud of Denmark,http://www.wikidata.org/entity/Q156617,Christian X of Denmark,male,"https://en.wikipedia.org/wiki/Knud,_Hereditary_Prince_of_Denmark"
http://www.wikidata.org/entity/Q435324,Princess Christina of the Netherlands,http://www.wikidata.org/entity/Q57304,Prince Bernhard of Lippe-Biesterfeld,female,https://en.wikipedia.org/wiki/Princess_Christina_of_the_Netherlands
http://www.wikidata.org/entity/Q1938760,"Prince Alexander, Prince of Orange",http://www.wikidata.org/entity/Q168674,Sophie of Württemberg,male,"https://en.wikipedia.org/wiki/Alexander,_Prince_of_Orange"
http://www.wikidata.org/entity/Q2336212,Prince Aschwin of Lippe-Biesterfeld,http://www.wikidata.org/entity/Q2802589,Armgard of Sierstorpff-Cramm,male,https://en.wikipedia.org/wiki/Prince_Aschwin_of_Lippe-Biesterfeld
http://www.wikidata.org/entity/Q2085981,Countess Adelaide of Lippe-Biesterfeld,http://www.wikidata.org/entity/Q2176785,Karoline of Wartensleben,female,https://en.wikipedia.org/wiki/Countess_Adelaide_of_Lippe-Biesterfeld
http://www.wikidata.org/entity/Q2525746,Duchess Elisabeth Alexandrine of Mecklenburg-Schwerin,http://www.wikidata.org/entity/Q154388,Princess Marie of Schwarzburg-Rudolstadt,female,https://en.wikipedia.org/wiki/Duchess_Elisabeth_Alexandrine_of_Mecklenburg-Schwerin
http://www.wikidata.org/entity/Q2336212,Prince Aschwin of Lippe-Biesterfeld,http://www.wikidata.org/entity/Q649601,Prince Bernhard of Lippe,male,https://en.wikipedia.org/wiki/Prince_Aschwin_of_Lippe-Biesterfeld
http://www.wikidata.org/entity/Q1938760,"Prince Alexander, Prince of Orange",http://www.wikidata.org/entity/Q125649,William III of the Netherlands,male,"https://en.wikipedia.org/wiki/Alexander,_Prince_of_Orange"
http://www.wikidata.org/entity/Q2085981,Countess Adelaide of Lippe-Biesterfeld,http://www.wikidata.org/entity/Q66592,"Ernest II, Count of Lippe-Biesterfeld",female,https://en.wikipedia.org/wiki/Countess_Adelaide_of_Lippe-Biesterfeld
http://www.wikidata.org/entity/Q2525746,Duchess Elisabeth Alexandrine of Mecklenburg-Schwerin,http://www.wikidata.org/entity/Q57976,Frederick Francis II,female,https://en.wikipedia.org/wiki/Duchess_Elisabeth_Alexandrine_of_Mecklenburg-Schwerin
http://www.wikidata.org/entity/Q2099997,Baroness Gösta von dem Bussche-Haddenhausen,http://www.wikidata.org/entity/Q4329958,Georg von dem Bussche-Haddenhausen,female,https://en.wikipedia.org/wiki/Baroness_G%C3%B6sta_von_dem_Bussche-Haddenhausen
http://www.wikidata.org/entity/Q1590241,"Charles Augustus, Hereditary Grand Duke of Saxe-Weimar-Eisenach",http://www.wikidata.org/entity/Q58037,"Wilhelm Ernst I, Grand Duke of Saxe-Weimar-Eisenach",male,"https://en.wikipedia.org/wiki/Charles_Augustus,_Hereditary_Grand_Duke_of_Saxe-Weimar-Eisenach_(1912%E2%80%931988)"
http://www.wikidata.org/entity/Q2099997,Baroness Gösta von dem Bussche-Haddenhausen,http://www.wikidata.org/entity/Q13638711,Gabriele von dem Bussche-Ippenburg,female,https://en.wikipedia.org/wiki/Baroness_G%C3%B6sta_von_dem_Bussche-Haddenhausen
http://www.wikidata.org/entity/Q1590241,"Charles Augustus, Hereditary Grand Duke of Saxe-Weimar-Eisenach",http://www.wikidata.org/entity/Q66639,Princess Feodora of Saxe-Meiningen,male,"https://en.wikipedia.org/wiki/Charles_Augustus,_Hereditary_Grand_Duke_of_Saxe-Weimar-Eisenach_(1912%E2%80%931988)"
http://www.wikidata.org/entity/Q159609,"Prince Claus, Prince Consort of the Netherlands",http://www.wikidata.org/entity/Q2439092,Claus Felix von Amsberg,male,https://en.wikipedia.org/wiki/Prince_Claus_of_the_Netherlands
http://www.wikidata.org/entity/Q170184,Princess Marina of Greece and Denmark,http://www.wikidata.org/entity/Q170160,Prince Nicholas of Greece and Denmark,female,https://en.wikipedia.org/wiki/Princess_Marina_of_Greece_and_Denmark
http://www.wikidata.org/entity/Q237341,Grand Duchess Kira Kirillovna of Russia,http://www.wikidata.org/entity/Q160948,Grand Duke Kirill Vladimirovich of Russia,female,https://en.wikipedia.org/wiki/Grand_Duchess_Kira_Kirillovna_of_Russia
http://www.wikidata.org/entity/Q235432,Princess Olga of Greece and Denmark,http://www.wikidata.org/entity/Q170160,Prince Nicholas of Greece and Denmark,female,https://en.wikipedia.org/wiki/Princess_Olga_of_Greece_and_Denmark
http://www.wikidata.org/entity/Q321787,"Franz Ulrich, 11th Prince Kinsky of Wchinitz and Tettau",http://www.wikidata.org/entity/Q7879786,"Ulrich, 10th Prince Kinsky of Wchinitz and Tettau",male,"https://en.wikipedia.org/wiki/Franz_Ulrich,_11th_Prince_Kinsky_of_Wchinitz_and_Tettau"
http://www.wikidata.org/entity/Q311442,"Louis Ferdinand, Prince of Prussia",http://www.wikidata.org/entity/Q57621,"Wilhelm, German Crown Prince",male,"https://en.wikipedia.org/wiki/Louis_Ferdinand,_Prince_of_Prussia"
http://www.wikidata.org/entity/Q352981,Prince Friso of the Netherlands,http://www.wikidata.org/entity/Q159609,"Prince Claus, Prince Consort of the Netherlands",male,https://en.wikipedia.org/wiki/Prince_Friso_of_Orange-Nassau
http://www.wikidata.org/entity/Q2439092,Claus Felix von Amsberg,http://www.wikidata.org/entity/Q4285590,Wilhelm von Amsberg,male,https://en.wikipedia.org/wiki/Klaus_Felix_von_Amsberg
http://www.wikidata.org/entity/Q3201780,Duke Friedrich August of Oldenburg,http://www.wikidata.org/entity/Q64976,"Nikolaus, Hereditary Grand Duke of Oldenburg",male,https://en.wikipedia.org/wiki/Duke_Friedrich_August_of_Oldenburg
http://www.wikidata.org/entity/Q6351902,Princess Sophie of Saxe-Weimar-Eisenach,http://www.wikidata.org/entity/Q58037,"Wilhelm Ernst I, Grand Duke of Saxe-Weimar-Eisenach",female,https://en.wikipedia.org/wiki/Princess_Sophie_of_Saxe-Weimar-Eisenach_(1911%E2%80%931988)
http://www.wikidata.org/entity/Q2295856,Prince Ernst August of Lippe,http://www.wikidata.org/entity/Q24788963,Prince Julius Ernest of Lippe-Biesterfeld,male,https://en.wikipedia.org/wiki/Prince_Ernst_August_of_Lippe
http://www.wikidata.org/entity/Q2295856,Prince Ernst August of Lippe,http://www.wikidata.org/entity/Q69425,Duchess Marie of Mecklenburg-Strelitz,male,https://en.wikipedia.org/wiki/Prince_Ernst_August_of_Lippe
http://www.wikidata.org/entity/Q2439092,Claus Felix von Amsberg,http://www.wikidata.org/entity/Q13576445,Elise von Vieregge,male,https://en.wikipedia.org/wiki/Klaus_Felix_von_Amsberg
http://www.wikidata.org/entity/Q3201780,Duke Friedrich August of Oldenburg,http://www.wikidata.org/entity/Q2280905,Princess Helene of Waldeck and Pyrmont,male,https://en.wikipedia.org/wiki/Duke_Friedrich_August_of_Oldenburg
http://www.wikidata.org/entity/Q6351902,Princess Sophie of Saxe-Weimar-Eisenach,http://www.wikidata.org/entity/Q66639,Princess Feodora of Saxe-Meiningen,female,https://en.wikipedia.org/wiki/Princess_Sophie_of_Saxe-Weimar-Eisenach_(1911%E2%80%931988)
http://www.wikidata.org/entity/Q382226,"Grand Duke Vladimir Kirillovich, Grand Duke of Russia",http://www.wikidata.org/entity/Q160948,Grand Duke Kirill Vladimirovich of Russia,male,https://en.wikipedia.org/wiki/Grand_Duke_Vladimir_Kirillovich_of_Russia
http://www.wikidata.org/entity/Q75392006,Heinrich XIII Prinz Reuss,http://www.wikidata.org/entity/Q7244058,Prince Heinrich I Reuss of Köstritz,male,https://en.wikipedia.org/wiki/Heinrich_XIII_Prinz_Reuss
http://www.wikidata.org/entity/Q7608111,"Stephan, Hereditary Prince of Lippe",http://www.wikidata.org/entity/Q73464,"Armin, Prince of Lippe",male,"https://en.wikipedia.org/wiki/Stephan,_Prince_of_Lippe"
http://www.wikidata.org/entity/Q75392006,Heinrich XIII Prinz Reuss,http://www.wikidata.org/entity/Q96733,Duchess Woizlawa Feodora of Mecklenburg-Schwerin,male,https://en.wikipedia.org/wiki/Heinrich_XIII_Prinz_Reuss
http://www.wikidata.org/entity/Q7608111,"Stephan, Hereditary Prince of Lippe",http://www.wikidata.org/entity/Q75374290,Traute Becker,male,"https://en.wikipedia.org/wiki/Stephan,_Prince_of_Lippe"
http://www.wikidata.org/entity/Q2735203,Prince Maurice of the Netherlands,http://www.wikidata.org/entity/Q168674,Sophie of Württemberg,male,https://en.wikipedia.org/wiki/Prince_Maurice_of_the_Netherlands
http://www.wikidata.org/entity/Q2754379,Duke Paul Friedrich of Mecklenburg-Schwerin,http://www.wikidata.org/entity/Q2071733,Princess Marie of Windisch-Graetz,male,https://en.wikipedia.org/wiki/Duke_Paul_Frederick_of_Mecklenburg_(1882%E2%80%931904)
http://www.wikidata.org/entity/Q2802589,Armgard of Sierstorpff-Cramm,http://www.wikidata.org/entity/Q4862973,Hedwig of Sierstorpff-Driburg,female,https://en.wikipedia.org/wiki/Armgard_von_Cramm
